vb,vl,vrl,prlt,idx,rpd,rpp,vpp,teq,tt,am,total
1798.25,1678.51,678.51,67.85,CDI,0.0222,25.03,1250.3,LCI/LCA 97.75% CDI,15.85,140000.0,115.0
1672.65,1571.75,571.75,57.17,CDI,0.0222,21.63,1216.31,LCI/LCA 97.75% CDI,15.85,150000.0,115.0
10307.58,9511.45,4511.45,90.23,CDI,0.0222,31.71,6585.29,LCI/LCA 97.75% CDI,15.85,120000.0,115.0
1798.25,1678.51,678.51,67.85,CDI,0.0222,25.03,1250.3,LCI/LCA 97.75% CDI,15.85,140000.0,115.0
1340.6,1289.51,289.51,28.95,CDI,0.0222,11.8,1118.05,LCI/LCA 97.75% CDI,15.85,190000.0,115.0
2080.87,1918.74,918.74,91.87,CDI,0.0222,32.17,1321.75,LCI/LCA 97.75% CDI,15.85,120000.0,115.0
1554.01,1470.91,470.91,47.09,CDI,0.0222,18.27,1182.72,LCI/LCA 97.75% CDI,15.85,160000.0,115.0
1798.25,1678.51,678.51,67.85,CDI,0.0222,25.03,1250.3,LCI/LCA 97.75% CDI,15.85,140000.0,115.0
1798.25,1678.51,678.51,67.85,CDI,0.0222,25.03,1250.3,LCI/LCA 97.75% CDI,15.85,140000.0,115.0
1554.01,1470.91,470.91,47.09,CDI,0.0222,18.27,1182.72,LCI/LCA 97.75% CDI,15.85,160000.0,115.0
1340.6,1289.51,289.51,28.95,CDI,0.0222,11.8,1118.05,LCI/LCA 97.75% CDI,15.85,190000.0,115.0
2080.87,1918.74,918.74,91.87,CDI,0.0222,32.17,1321.75,LCI/LCA 97.75% CDI,15.85,120000.0,115.0
1784.65,1666.95,666.95,66.7,CDI,0.0222,24.67,1246.7,LCI/LCA 97.75% CDI,15.85,140000.0,115.0
20615.17,19022.89,9022.89,90.23,CDI,0.0222,31.71,13170.57,LCI/LCA 97.75% CDI,15.85,120000.0,115.0
15440.6,14624.51,4624.51,46.25,CDI,0.0222,17.98,11798.33,LCI/LCA 97.75% CDI,15.85,160000.0,115.0
7720.3,7312.26,2312.26,46.25,CDI,0.0222,17.98,5899.17,LCI/LCA 97.75% CDI,15.85,160000.0,115.0
1544.06,1462.45,462.45,46.24,CDI,0.0222,17.98,1179.83,LCI/LCA 97.75% CDI,15.85,160000.0,115.0
1660.0,1561.0,561.0,56.1,CDI,0.0222,21.28,1212.8,LCI/LCA 97.75% CDI,15.85,150000.0,115.0
1782.56,1665.18,665.18,66.52,CDI,0.0222,24.61,1246.14,LCI/LCA 97.75% CDI,15.85,140000.0,115.0
1335.13,1284.86,284.86,28.49,CDI,0.0222,11.63,1116.31,LCI/LCA 97.75% CDI,15.85,190000.0,115.0
1544.06,1462.45,462.45,46.24,CDI,0.0222,17.98,1179.83,LCI/LCA 97.75% CDI,15.85,160000.0,115.0
2067.54,1907.41,907.41,90.74,CDI,0.0222,31.85,1318.52,LCI/LCA 97.75% CDI,15.85,120000.0,115.0
1157.16,1129.66,129.66,12.97,CDI,0.0222,5.71,1057.14,LCI/LCA 94.88% CDI,15.85,220000.0,115.0
10319.63,9521.68,4521.68,90.43,CDI,0.0222,31.76,6588.21,LCI/LCA 97.75% CDI,15.85,120000.0,115.0
2063.93,1904.34,904.34,90.43,CDI,0.0222,31.76,1317.64,LCI/LCA 97.75% CDI,15.85,120000.0,115.0
1786.73,1668.72,668.72,66.87,CDI,0.0222,24.73,1247.25,LCI/LCA 97.75% CDI,15.85,140000.0,115.0
1786.73,1668.72,668.72,66.87,CDI,0.0222,24.73,1247.25,LCI/LCA 97.75% CDI,15.85,140000.0,115.0
1786.73,1668.72,668.72,66.87,CDI,0.0222,24.73,1247.25,LCI/LCA 97.75% CDI,15.85,140000.0,115.0
1662.91,1563.47,563.47,56.35,CDI,0.0222,21.36,1213.61,LCI/LCA 97.75% CDI,15.85,150000.0,115.0
1546.77,1464.75,464.75,46.48,CDI,0.0222,18.06,1180.62,LCI/LCA 97.75% CDI,15.85,160000.0,115.0
1546.77,1464.75,464.75,46.48,CDI,0.0222,18.06,1180.62,LCI/LCA 97.75% CDI,15.85,160000.0,115.0
38203.01,35658.56,14418.56,67.88,CDI,0.0222,25.02,26554.41,LCI/LCA 97.5% CDI,15.81,140000.0,114.7
1690.07,1690.07,664.72,64.83,CDI,0.0222,21.01,1240.79,CDB CDI + 2.24%,15.81,150000.0,1.9
1552.52,1469.64,469.64,46.96,CDI,0.0222,18.27,1182.72,LCI/LCA 97.54% CDI,15.81,160000.0,114.75
1670.78,1570.16,570.16,57.02,CDI,0.0222,21.63,1216.31,LCI/LCA 97.54% CDI,15.81,150000.0,114.75
2781.77,2514.5,1514.5,151.45,CDI,0.0222,47.74,1477.45,LCI/LCA 97.54% CDI,15.81,90000.0,114.75
1690.08,1690.08,664.13,64.73,CDI,0.0222,20.98,1241.25,CDB CDI + 2.24%,15.81,150000.0,1.9
1878.41,1878.41,891.21,90.28,IPCA,0.0215,26.86,1252.34,CDB IPCA + 11.15%,15.8,130000.0,9.48
1878.41,1878.41,891.21,90.28,IPCA,0.0215,26.86,1252.34,CDB IPCA + 11.15%,15.8,130000.0,9.48
8895.63,8311.28,3311.28,66.23,CDI,0.0222,24.55,6227.54,LCI/LCA 97.33% CDI,15.78,140000.0,114.5
2400.12,2190.1,1190.1,119.01,CDI,0.0222,39.76,1397.59,LCI/LCA 97.33% CDI,15.78,100000.0,114.5
8890.46,8306.89,3306.89,66.14,CDI,0.0222,24.61,6230.71,LCI/LCA 97.33% CDI,15.78,140000.0,114.5
1551.03,1468.38,468.38,46.84,CDI,0.0222,18.27,1182.72,LCI/LCA 97.33% CDI,15.78,160000.0,114.5
1435.63,1370.28,370.28,37.03,CDI,0.0222,14.83,1148.27,LCI/LCA 97.33% CDI,15.78,170000.0,114.5
1435.63,1370.28,370.28,37.03,CDI,0.0222,14.83,1148.27,LCI/LCA 97.33% CDI,15.78,170000.0,114.5
