tir,vir,dc,du,rbd,rbm,rba,rbp,rlp,rld,rlm,rla
15.0,116.04,1440,990,0.057898,1.2229,15.7,77.36,65.76,0.05106,1.08,13.73
15.0,160.15,1825,1255,0.057898,1.2229,15.7,106.77,90.75,0.051471,1.09,13.85
15.0,118.21,1461,1004,0.057898,1.2229,15.7,78.81,66.99,0.051082,1.08,13.73
17.5,422.97,540,374,0.057898,1.2229,15.7,24.17,19.94,0.048627,1.03,13.03
15.0,8.1,1080,746,0.057898,1.2229,15.7,54.0,45.9,0.050651,1.07,13.61
15.0,979.06,1260,868,0.057898,1.2229,15.7,65.27,55.48,0.050859,1.07,13.67
15.0,806.03,1081,743,0.057898,1.2229,15.7,53.74,45.67,0.050646,1.07,13.61
15.0,1160.44,1440,990,0.057898,1.2229,15.7,77.36,65.76,0.05106,1.08,13.73
15.0,807.36,1080,744,0.057898,1.2229,15.7,53.82,45.75,0.050648,1.07,13.61
15.0,823.44,1096,756,0.057898,1.2229,15.7,54.9,46.66,0.050669,1.07,13.62
15.0,822.1,1095,755,0.057898,1.2229,15.7,54.81,46.59,0.050667,1.07,13.62
15.0,497.67,721,495,0.057898,1.2229,15.7,33.18,28.2,0.0502,1.06,13.48
15.0,508.1,732,504,0.057898,1.2229,15.7,33.87,28.79,0.050217,1.06,13.49
15.0,65.13,900,623,0.057898,1.2229,15.7,43.42,36.91,0.050434,1.06,13.55
15.0,157.11,1800,1238,0.057898,1.2229,15.7,104.74,89.03,0.051446,1.09,13.84
15.0,208.64,2191,1506,0.057898,1.2229,15.7,139.1,118.23,0.051832,1.09,13.95
15.0,264.48,2556,1756,0.057898,1.2229,15.7,176.32,149.87,0.052166,1.1,14.05
15.0,82.48,1097,757,0.057898,1.2229,15.7,54.99,46.74,0.05067,1.07,13.62
15.0,248.83,721,495,0.057898,1.2229,15.7,33.18,28.2,0.0502,1.06,13.48
15.0,325.64,900,623,0.057898,1.2229,15.7,43.42,36.91,0.050434,1.06,13.55
